channel_name,video_title,release_date_1,release_date_2,video_link,video_duration (min),voice
Akhdar,كتاب: الكاريزما وأسرار الجاذبية 🤵‍♂️ #أخضر,9,day,https://www.youtube.com/watch?v=A_1tKTOrWgk,12,voice 1
Akhdar,مـــــياو ميــــــــــــــاو 🐱 ، كتاب:  فكر وتصرف كأنك قط  #أخضر,2,week,https://www.youtube.com/watch?v=4QHrfBhaRUg,13,voice 1
Akhdar,ليه بنتصرف بغباء ؟ 🤔 ، كتاب علم نفس الغباء #أخضر,3,week,https://www.youtube.com/watch?v=UNS9N4JPwNk,16,voice 1
Akhdar,إدمان الدوبامين 💉-  كتاب : صيام الدوبامين: وصفة التحكم في المادة السحرية  #أخضر,4,week,https://www.youtube.com/watch?v=3hNMH1McVAw,14,voice 1
Akhdar,نادي الخوازيق السري  ، كتاب: خازوقولوجي - علم دراسة الخازوق #أخضر,1,month,https://www.youtube.com/watch?v=Gby-P4h_7QM,13,voice 1
Akhdar,كتالوج الشفاء الذاتي 💊 - كتاب لماذا لا تذهب الخراف إلى الطبيب؟ #أخضر,1,month,https://www.youtube.com/watch?v=Qsmjltsb0dY,11,voice 1
Akhdar,اضطراب ما بعد الصدمة 😵 ، كتاب: ماذا حدث لك؟ #أخضر,1,month,https://www.youtube.com/watch?v=vlQkDdxxQ-4,13,voice 1
Akhdar,كلاكيت عاااااشر مرة 🎬، كتاب: سيكولوجيه الرحيل #أخضر,1,month,https://www.youtube.com/watch?v=sZe73A0a9Rk,13,voice 1
Akhdar,عن متلازمة تيك توك🦁 🐋 🧤 #أخضر,2,month,https://www.youtube.com/watch?v=lxx0k99PdK8,13,voice 1
Akhdar,توقف عن التوقع ، كتاب: البجعة السوداء🦩: تداعيات الأحداث غير المتوقعة  #أخضر,2,month,https://www.youtube.com/watch?v=IZDg4Ps8Vp8,12,voice 1
Akhdar,5 مراحل لتخطي الحزن 😢 ، كتاب : عن الاسى و التأسى#أخضر,2,month,https://www.youtube.com/watch?v=_8VCGQpqkMU,11,voice 1
Akhdar,اصنع حياة تليق بك⛏️  ، كتاب: بورتفوليو الحياة #أخضر,2,month,https://www.youtube.com/watch?v=VJmpKsLtYxc,14,voice 1
Akhdar,ازاي تعرف النرجسي 🫅 ، كتاب : كيف تترك شخصا نرجسيا للابد #أخضر,3,month,https://www.youtube.com/watch?v=a8qx9yaDkJY,13,voice 1
Akhdar,هل نتيجتك في الثانوية بتحدد مصيرك؟ ، كتاب Awaken Your Genius  #أخضر,3,month,https://www.youtube.com/watch?v=xAvSbe0exs0,15,voice 1
