channel_name,video_title,release_date_1,release_date_2,video_link,video_duration (min),voice
ReadTube,قوة التفكير الاستراتيجي - الملخص الشامل لكتاب : فن الحرب,7,day,https://www.youtube.com/watch?v=6GV_0sRLMPs,23,voice 3
ReadTube,لا تكن تافها !! ملخص كتاب : متلازمة تيك توك,2,week,https://www.youtube.com/watch?v=FlS6ePWJR0I,24,voice 3
ReadTube,لا تكن فارغا !! ملخص كتاب : معنى الحياة في العالم الحديث,3,week,https://www.youtube.com/watch?v=wtoJ7SV7Ydk,26,voice 3
ReadTube,سيكولوجية تغييب الشعوب - ملخص كتاب : النباهة والاستحمار,4,week,https://www.youtube.com/watch?v=lE1L_CQCW-M,23,voice 3
ReadTube,الشيطان يحكم  - ملخص كتاب  د. مصطفى محمود ؟,1,month,https://www.youtube.com/watch?v=J37G7LnQzFw,24,voice 3
ReadTube,الكتاب الأهم في حياتك !! ملخص كتاب : رسائل من القرآن,1,month,https://www.youtube.com/watch?v=WzLcza9Zsck,25,voice 3
ReadTube,تنبؤات د.عبد الوهاب المسيري الخـ ـطـ ـيرة للمستقبل !!,1,month,https://www.youtube.com/watch?v=tQ7lZRLu_60,23,voice 3
ReadTube,كيف تتقن فن الكلام ؟ كتاب :كيف تتحدث إلي أي شخص ؟,1,month,https://www.youtube.com/watch?v=6rvwgSW7F6U,28,voice 3
ReadTube,الجانب المظلم من الأنمي 😈  كتاب : الأنمي وأثره في الجيل العربي,2,month,https://www.youtube.com/watch?v=FJNa4kT6bDE,29,voice 3
ReadTube,خبايا الفكر الغربي -كلام خـ ـطير لدكتور عبد الوهاب المسيري,2,month,https://www.youtube.com/watch?v=mYEqKNtlL5E,26,voice 3
ReadTube,افهم خبايا البشر - كتاب : فن الذكاء الاجتماعي,2,month,https://www.youtube.com/watch?v=QSdzQXOqMds,27,voice 3
ReadTube,توقف عن الاستـ* ـمـ نــ اء فورا !!  كتاب : كيف تقلـ ع عن الإىى*ـاحىة للأبد,2,month,https://www.youtube.com/watch?v=vQtoi8fPSZU,27,voice 3
ReadTube,السر الأعظم - كلام خـ ـطير ومـؤثر للدكتور مصطفى محمود …,2,month,https://www.youtube.com/watch?v=rn8NnyYchfs,25,voice 3
ReadTube,لا تكن هشا !! ملخص كتاب : ضد الكسر,2,month,https://www.youtube.com/watch?v=v06HAAoq_GM,28,voice 3
ReadTube,كتب عظيمة لا تفوت قرائتها في ٢٠٢٤,3,month,https://www.youtube.com/watch?v=hi-g6ke0LjI,30,voice 3
ReadTube,أكبر كذبة في  ريادة الأعمال 👿💰 كتاب : ماجيستير إدارة الأعمال الشخصي,3,month,https://www.youtube.com/watch?v=mRyvqqg1SbY,26,voice 3
ReadTube,غيرَّ طريقة تفكيرك 🧠 ملخص كتاب : موعد مع فيلسوف,3,month,https://www.youtube.com/watch?v=2IDRh87EHrM,28,voice 3
ReadTube,نصائح ذهبية لتغيير حياتك 🔥↗️ ملخص كتاب : المبادئ,3,month,https://www.youtube.com/watch?v=mCzntMVKuBk,25,voice 3
ReadTube,أهدافك تشكل حياتك 🎯 ملخص كتاب : اكتشاف الغاية,3,month,https://www.youtube.com/watch?v=z-CUSMrjjmw,26,voice 3
ReadTube,أصعب مشكلة في حياتك 🛑  ملخص كتاب : اتصالات مفقودة,3,month,https://www.youtube.com/watch?v=dfLJ5BS-tCc,37,voice 3
ReadTube,أهم استثمار في حياتك  !!  كتاب : ١٦٨ ساعة,4,month,https://www.youtube.com/watch?v=n9nSvaqicwc,33,voice 3
ReadTube,لا تذهب لطبيب نفسي !!  كتاب : عيادة نفسية من  داخل غرفتك,4,month,https://www.youtube.com/watch?v=oQGUo7Abhvw,47,voice 3
ReadTube,لا تؤجل مشاهدة هذا الفيديو  !! ملخص كتاب : الأهداف,4,month,https://www.youtube.com/watch?v=nf6BTpVJ4mE,41,voice 3
ReadTube,فن قراءة البشر 🧐 ملخص كتاب : اقرأ الناس كأنهم كتاب,4,month,https://www.youtube.com/watch?v=9QUtkCbmJP4,44,voice 3
ReadTube,السر الياباني للنجاح - ملخص كتاب : ايكيجاي,5,month,https://www.youtube.com/watch?v=ctfRC1Ke274,45,voice 3
ReadTube,"كما لم تسمعها من قبل - قصة الرجل ""الفولاذي"" ديفيد جوجينز",5,month,https://www.youtube.com/watch?v=HNJ6lnGrjW8,36,voice 3
ReadTube,كيف تتعلم أي شئ ؟ ملخص كتاب : فكر وتعلم كأنك أينشتاين,5,month,https://www.youtube.com/watch?v=_oopWDcMMVw,51,voice 3
ReadTube,افهم دوافع البشر 😈 ملخص كتاب : فكر كأنك طبيب نفسي,5,month,https://www.youtube.com/watch?v=FnCPLW2Gktw,32,voice 3
ReadTube,لا تكن صغيرا !!  ملخص كتاب : المحور الأساسي,5,month,https://www.youtube.com/watch?v=Kj9bhG6y7mU,29,voice 3
ReadTube,سر الإنتاجية الفائقة - السفر للخارج - قنواتي المفضلة - المهارة أم الدراسة ؟ وأشياء أخرى,5,month,https://www.youtube.com/watch?v=DM8QP1qe6Ag,50,voice 3
ReadTube,ماذا خسر العالم بانحطاط المسلمين ؟!! ملخص كتاب أبي الحسن الندوي,5,month,https://www.youtube.com/watch?v=vuzTALRDHnI,24,voice 3
ReadTube,سر النجاح العظيم 🔴 ملخص كتاب : التدفق,6,month,https://www.youtube.com/watch?v=YK1__2fE4Co,39,voice 3
ReadTube,كن واثقا 😎 ملخص كتاب : فن إدارة المخاوف,6,month,https://www.youtube.com/watch?v=MqCVM1egPFI,44,voice 3
ReadTube,عصر سيطرة المدمنين 🔴 ملخص كتاب : أمة الدوبامين,6,month,https://www.youtube.com/watch?v=G9HowemBV5Q,36,voice 3
ReadTube,أهم طريق في حياتك !! ملخص كتاب : مسلكيات,6,month,https://www.youtube.com/watch?v=0ra8fAHNYzk,28,voice 3
ReadTube,كيف تقهر القلق ؟ ملخص كتاب : قوة الأفكار الهادئة,6,month,https://www.youtube.com/watch?v=-p2pBikAqtA,26,voice 3
ReadTube,تعلم صناعة الفيديوهات الكرتونية - كورس من قناة جيل يقرأ,7,month,https://www.youtube.com/watch?v=7Vx-JAwwe0M,7,voice 3
ReadTube,سيكولوجية إدمان الشهوات !! ملخص كتاب : العادات العصبية,7,month,https://www.youtube.com/watch?v=O3fPR02tqMo,30,voice 3
