channel_name,video_title,release_date_1,release_date_2,video_link,video_duration (min),voice
ReadTube,لا تفقد الأمل !! الملخص  الكامل لرواية : الشوك والقرنفل,21,hour,https://www.youtube.com/watch?v=X0Q6uoyms78,25,voice 3
ReadTube,قوة التفكير الاستراتيجي - الملخص الشامل لكتاب : فن الحرب,7,day,https://www.youtube.com/watch?v=6GV_0sRLMPs,23,voice 3
ReadTube,لا تكن تافها !! ملخص كتاب : متلازمة تيك توك,2,week,https://www.youtube.com/watch?v=FlS6ePWJR0I,24,voice 3
ReadTube,لا تكن فارغا !! ملخص كتاب : معنى الحياة في العالم الحديث,3,week,https://www.youtube.com/watch?v=wtoJ7SV7Ydk,26,voice 3
ReadTube,سيكولوجية تغييب الشعوب - ملخص كتاب : النباهة والاستحمار,4,week,https://www.youtube.com/watch?v=lE1L_CQCW-M,23,voice 3
ReadTube,الشيطان يحكم  - ملخص كتاب  د. مصطفى محمود ؟,1,month,https://www.youtube.com/watch?v=J37G7LnQzFw,24,voice 3
ReadTube,الكتاب الأهم في حياتك !! ملخص كتاب : رسائل من القرآن,1,month,https://www.youtube.com/watch?v=WzLcza9Zsck,25,voice 3
ReadTube,تنبؤات د.عبد الوهاب المسيري الخـ ـطـ ـيرة للمستقبل !!,1,month,https://www.youtube.com/watch?v=tQ7lZRLu_60,23,voice 3
ReadTube,كيف تتقن فن الكلام ؟ كتاب :كيف تتحدث إلي أي شخص ؟,1,month,https://www.youtube.com/watch?v=6rvwgSW7F6U,28,voice 3
ReadTube,الجانب المظلم من الأنمي 😈  كتاب : الأنمي وأثره في الجيل العربي,2,month,https://www.youtube.com/watch?v=FJNa4kT6bDE,29,voice 3
ReadTube,خبايا الفكر الغربي -كلام خـ ـطير لدكتور عبد الوهاب المسيري,2,month,https://www.youtube.com/watch?v=mYEqKNtlL5E,26,voice 3
ReadTube,افهم خبايا البشر - كتاب : فن الذكاء الاجتماعي,2,month,https://www.youtube.com/watch?v=QSdzQXOqMds,27,voice 3
ReadTube,توقف عن الاستـ* ـمـ نــ اء فورا !!  كتاب : كيف تقلـ ع عن الإىى*ـاحىة للأبد,2,month,https://www.youtube.com/watch?v=vQtoi8fPSZU,27,voice 3
ReadTube,السر الأعظم - كلام خـ ـطير ومـؤثر للدكتور مصطفى محمود …,2,month,https://www.youtube.com/watch?v=rn8NnyYchfs,25,voice 3
ReadTube,لا تكن هشا !! ملخص كتاب : ضد الكسر,2,month,https://www.youtube.com/watch?v=v06HAAoq_GM,28,voice 3
ReadTube,كتب عظيمة لا تفوت قرائتها في ٢٠٢٤,3,month,https://www.youtube.com/watch?v=hi-g6ke0LjI,30,voice 3
ReadTube,أكبر كذبة في  ريادة الأعمال 👿💰 كتاب : ماجيستير إدارة الأعمال الشخصي,3,month,https://www.youtube.com/watch?v=mRyvqqg1SbY,26,voice 3
ReadTube,غيرَّ طريقة تفكيرك 🧠 ملخص كتاب : موعد مع فيلسوف,3,month,https://www.youtube.com/watch?v=2IDRh87EHrM,28,voice 3
ReadTube,نصائح ذهبية لتغيير حياتك 🔥↗️ ملخص كتاب : المبادئ,3,month,https://www.youtube.com/watch?v=mCzntMVKuBk,25,voice 3
ReadTube,بيع وإغلاق قناة جيل يقرأ ؟ - Q&A,3,month,https://www.youtube.com/watch?v=REX7M-8FkFQ,35,voice 3
ReadTube,أهدافك تشكل حياتك 🎯 ملخص كتاب : اكتشاف الغاية,3,month,https://www.youtube.com/watch?v=z-CUSMrjjmw,26,voice 3
ReadTube,أصعب مشكلة في حياتك 🛑  ملخص كتاب : اتصالات مفقودة,3,month,https://www.youtube.com/watch?v=dfLJ5BS-tCc,37,voice 3
ReadTube,أهم استثمار في حياتك  !!  كتاب : ١٦٨ ساعة,4,month,https://www.youtube.com/watch?v=n9nSvaqicwc,33,voice 3
